INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 2044746017
INFO: Loaded 1 modules   (512 inline 8-bit counters): 512 [0x130080000, 0x130080200), 
INFO: Loaded 1 PC tables (512 PCs): 512 [0x11c480000,0x11c482000), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED exec/s: 2 rss: 261Mb
WARNING: no interesting inputs were found so far. Is the code instrumented for coverage?
This may also happen if the target rejected all inputs we tried so far
#4	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 289Mb
#8	pulse  corp: 1/1b lim: 4 exec/s: 2 rss: 302Mb
#16	pulse  corp: 1/1b lim: 4 exec/s: 3 rss: 313Mb
#7771	NEW    cov: 88 ft: 374 corp: 107/1316b lim: 21 exec/s: 2 rss: 372Mb L: 17/21 MS: 2 ChangeBinInt-InsertRepeatedBytes-
#7798	NEW    cov: 88 ft: 379 corp: 108/1337b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 2 InsertRepeatedBytes-CrossOver-
#8099	NEW    cov: 88 ft: 380 corp: 109/1356b lim: 21 exec/s: 2 rss: 372Mb L: 19/21 MS: 1 CMP- DE: "\001\000"-
#8192	pulse  cov: 88 ft: 380 corp: 109/1356b lim: 21 exec/s: 2 rss: 372Mb
#8245	NEW    cov: 89 ft: 381 corp: 110/1377b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 1 ChangeASCIIInt-
#8256	NEW    cov: 89 ft: 382 corp: 111/1396b lim: 21 exec/s: 2 rss: 372Mb L: 19/21 MS: 1 ChangeBinInt-
#8435	NEW    cov: 89 ft: 383 corp: 112/1414b lim: 21 exec/s: 2 rss: 372Mb L: 18/21 MS: 4 CrossOver-ChangeBit-PersAutoDict-InsertByte- DE: "\377\377\377\377"-
#8558	NEW    cov: 89 ft: 384 corp: 113/1433b lim: 21 exec/s: 2 rss: 372Mb L: 19/21 MS: 3 CopyPart-ChangeBit-CopyPart-
#8662	NEW    cov: 89 ft: 385 corp: 114/1452b lim: 21 exec/s: 2 rss: 372Mb L: 19/21 MS: 4 CopyPart-ChangeBinInt-EraseBytes-InsertRepeatedBytes-
#8736	NEW    cov: 90 ft: 386 corp: 115/1471b lim: 21 exec/s: 2 rss: 372Mb L: 19/21 MS: 4 ShuffleBytes-ShuffleBytes-CrossOver-ChangeBit-
#8782	NEW    cov: 90 ft: 389 corp: 116/1492b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 1 ShuffleBytes-
#8800	NEW    cov: 90 ft: 390 corp: 117/1507b lim: 21 exec/s: 2 rss: 372Mb L: 15/21 MS: 3 ChangeASCIIInt-ChangeBinInt-CopyPart-
#8843	NEW    cov: 93 ft: 393 corp: 118/1528b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 3 ChangeBit-ShuffleBytes-CrossOver-
#8847	NEW    cov: 93 ft: 394 corp: 119/1549b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 4 ShuffleBytes-ChangeBinInt-CopyPart-ChangeBinInt-
#8868	NEW    cov: 93 ft: 395 corp: 120/1567b lim: 21 exec/s: 2 rss: 372Mb L: 18/21 MS: 1 ShuffleBytes-
#8879	NEW    cov: 93 ft: 396 corp: 121/1588b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 1 ChangeByte-
#8990	NEW    cov: 93 ft: 397 corp: 122/1608b lim: 21 exec/s: 2 rss: 372Mb L: 20/21 MS: 1 InsertRepeatedBytes-
#9021	NEW    cov: 93 ft: 398 corp: 123/1625b lim: 21 exec/s: 2 rss: 372Mb L: 17/21 MS: 1 ShuffleBytes-
#9062	NEW    cov: 93 ft: 400 corp: 124/1646b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 1 InsertByte-
#9068	NEW    cov: 93 ft: 401 corp: 125/1665b lim: 21 exec/s: 2 rss: 372Mb L: 19/21 MS: 1 InsertRepeatedBytes-
#9184	NEW    cov: 93 ft: 402 corp: 126/1683b lim: 21 exec/s: 2 rss: 372Mb L: 18/21 MS: 1 CrossOver-
#9230	NEW    cov: 93 ft: 407 corp: 127/1703b lim: 21 exec/s: 2 rss: 372Mb L: 20/21 MS: 1 ChangeByte-
#9393	REDUCE cov: 93 ft: 407 corp: 127/1702b lim: 21 exec/s: 2 rss: 372Mb L: 20/21 MS: 3 CopyPart-ChangeByte-EraseBytes-
#9554	NEW    cov: 93 ft: 410 corp: 128/1723b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 1 InsertByte-
#9614	NEW    cov: 93 ft: 411 corp: 129/1744b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 5 ChangeBinInt-InsertByte-CopyPart-CopyPart-CopyPart-
#9820	NEW    cov: 93 ft: 414 corp: 130/1765b lim: 21 exec/s: 2 rss: 372Mb L: 21/21 MS: 1 ChangeBinInt-
#9823	REDUCE cov: 93 ft: 414 corp: 130/1761b lim: 21 exec/s: 2 rss: 372Mb L: 16/21 MS: 3 InsertByte-ChangeBit-EraseBytes-
